CLOSEBIDVOL,CLOSINGPIPS,RESULT,HIST_1,BB_LOW_1,BB_MID_1,BB_UP_1,MA_1,WILLR_1,MFI_CLOSE_ASK_1,AVGPRICE_1,MEDPRICE_1,TYPPRICE_1,WCLPRICE_1
0.18,-0.428,0,-0.016599019,18.61131391,18.696,18.78068609,18.696,-57.5,26.82209049,18.72525,18.7285,18.73,18.73075
0.04,-0.277,0,-0.015025576,17.13852121,17.24706667,17.35561212,17.24706667,-0.888888889,62.39249162,17.15875,17.1585,17.16066667,17.16175
0.04,-0.256,0,0.007963197,16.57415882,16.59786667,16.62157452,16.59786667,-46.66666667,55.77782957,16.58575,16.585,16.586,16.5865
0.04,-0.242,0,-0.017800744,17.22302282,17.35786667,17.49271051,17.35786667,-20,73.10266073,17.213,17.187,17.20433333,17.213
0.07,-0.169,0,-0.005932345,16.39110125,16.4592,16.52729875,16.4592,-76.66666667,38.60803435,16.4585,16.459,16.44866667,16.4435
0.17,-0.166,0,-0.014360784,17.09790642,17.1838,17.26969358,17.1838,-25.72815534,66.87922877,17.07725,17.0705,17.07,17.06975
0.06,-0.151,0,-0.001158127,16.2817903,16.37133333,16.46087637,16.37133333,-56.75675676,21.80879823,16.38575,16.3825,16.374,16.36975
0.24,-0.151,0,-0.01007756,18.16809714,18.3712,18.57430286,18.3712,-20.1754386,83.46305045,18.225,18.2275,18.21866667,18.21425
0.23,-0.149,0,-0.088184377,18.3680929,18.64266667,18.91724044,18.64266667,-21.75572519,39.02033047,18.411,18.3965,18.38633333,18.38125
0.09,-0.144,0,-0.018497012,17.57342476,17.7056,17.83777524,17.7056,-8.11965812,50.9822533,17.627,17.6215,17.62466667,17.62625
0.17,-0.142,0,0.010059225,18.12398067,18.28206667,18.44015266,18.28206667,-65.58265583,51.75493189,18.24075,18.24,18.24466667,18.247
0.18,-0.141,0,0.013680649,17.38386805,17.52633333,17.66879861,17.52633333,-12.80276817,44.05222849,17.3515,17.3485,17.339,17.33425
0.17,-0.14,0,0.000637543,19.281938,19.4196,19.557262,19.4196,-91.80327869,57.6151643,19.4555,19.4455,19.452,19.45525
0.05,-0.137,0,0.020219401,17.5114138,17.55666667,17.60191954,17.55666667,-19.65811966,54.49957914,17.5345,17.535,17.53233333,17.531
0.03,-0.133,0,-0.044214416,18.22529267,18.31493333,18.404574,18.31493333,-31.86119874,59.01504686,18.262,18.266,18.25966667,18.2565
0.25,-0.132,0,-0.017199575,18.04424301,18.07873333,18.11322365,18.07873333,-56.84210526,51.87492517,18.0935,18.09,18.09166667,18.0925
0.18,-0.131,0,0.012086503,18.86995228,19.14633333,19.42271439,19.14633333,-25.53571429,68.00595605,18.8605,18.8635,18.84833333,18.84075
0.56,-0.129,0,0.006154553,16.94623973,16.97133333,16.99642694,16.97133333,-55.40540541,29.21775613,16.9775,16.9785,16.97366667,16.97125
0.12,-0.127,0,-0.024449476,17.65596054,17.82126667,17.98657279,17.82126667,-6.407322654,65.52992774,17.6745,17.6625,17.67833333,17.68625
0.15,0.119,1,-0.008579336,17.44216515,17.47686667,17.51156819,17.47686667,-38.70967742,55.29379866,17.46325,17.4615,17.451,17.44575
0.23,0.12,1,0.029270886,18.08096667,18.15566667,18.23036666,18.15566667,-57.14285714,33.37787065,18.16225,18.1615,18.162,18.16225
0.04,0.121,1,0.009649822,14.45644135,14.54906667,14.64169198,14.54906667,-89.90825688,20.73468457,14.6265,14.6275,14.632,14.63425
0.15,0.121,1,0.000979389,17.0430056,17.07473333,17.10646106,17.07473333,-93.05555556,33.52215819,17.09725,17.093,17.101,17.105
0.02,0.122,1,0.002504569,17.20275639,17.49346667,17.78417694,17.49346667,-7.114624506,37.35523816,17.19525,17.1935,17.19833333,17.20075
0.13,0.124,1,-0.007281194,16.29333999,16.3668,16.44026001,16.3668,-26.75159236,39.70362218,16.3715,16.3735,16.35566667,16.34675
0.25,0.124,1,0.003437846,16.41288861,16.48346667,16.55404472,16.48346667,-80.14705882,33.13469063,16.52825,16.534,16.53566667,16.5365
0.04,0.126,1,0.00232787,16.20209671,16.25593333,16.30976996,16.25593333,-8.108108108,67.45958806,16.22125,16.2175,16.22333333,16.22625
0.04,0.126,1,-0.010294389,17.43944809,17.54666667,17.65388524,17.54666667,-41.62436548,61.52490545,17.5375,17.532,17.532,17.532
0.16,0.127,1,0.038462233,17.64706251,17.72186667,17.79667083,17.72186667,-77.05882353,21.71108518,17.75025,17.751,17.74733333,17.7455
0.17,0.128,1,-0.012635628,15.28349098,15.30906667,15.33464235,15.30906667,-32,17.20684492,15.33175,15.332,15.334,15.335
0.04,0.128,1,-0.010155658,18.31652091,18.348,18.37947909,18.348,-60.95238095,32.46975563,18.383,18.388,18.38333333,18.381
0.22,0.14,1,-0.010267881,17.76158369,17.81773333,17.87388297,17.81773333,-50,51.42214267,17.838,17.832,17.83366667,17.8345
0.17,0.14,1,-0.036696587,17.55244676,17.7292,17.90595324,17.7292,-41.2037037,63.01293305,17.61125,17.604,17.60233333,17.6015
0.09,0.142,1,-0.009903402,18.17036766,18.19786667,18.22536568,18.19786667,-56.33802817,56.99672352,18.2075,18.206,18.21,18.212
0.35,0.143,1,-0.011856365,16.20942797,16.2466,16.28377203,16.2466,-40.42553191,40.68355805,16.276,16.2765,16.27366667,16.27225
0.21,0.145,1,-0.018100827,14.3573625,14.3924,14.4274375,14.3924,-42.10526316,51.61518161,14.376,14.3775,14.36666667,14.36125
0.13,0.178,1,0.031238752,19.20396652,19.29026667,19.37656681,19.29026667,-82.24852071,48.03320684,19.361,19.3575,19.36266667,19.36525
0.17,0.182,1,-0.043341042,18.46078451,18.67306667,18.88534883,18.67306667,-25.38167939,26.83074601,18.50775,18.4955,18.43233333,18.40075
0,0.284,1,0.037920137,17.40266821,17.46026667,17.51786512,17.46026667,-36.36363636,63.77152917,17.43975,17.4415,17.43933333,17.43825
0.18,0.407,1,0.030550687,18.07241853,18.16693333,18.26144814,18.16693333,-68.82129278,37.43828123,18.23325,18.2435,18.25666667,18.26325
